CustomerID,Country,Region,State,City,PostalCode,PostID
CG-12520,United States,South,Kentucky,Henderson,42420,A00860
DV-13045,United States,West,California,Los Angeles,90036,A01437
SO-20335,United States,South,Florida,Fort Lauderdale,33311,A04367
BH-11710,United States,West,California,Los Angeles,90032,A00539
AA-10480,United States,South,North Carolina,Concord,28027,A00015
IM-15070,United States,West,Washington,Seattle,98103,A02080
HP-14815,United States,Central,Texas,Fort Worth,76106,A02031
PK-19075,United States,Central,Wisconsin,Madison,53711,A03669
AG-10270,United States,West,Utah,West Jordan,84084,A00112
ZD-21925,United States,West,California,San Francisco,94109,A04910
KB-16585,United States,Central,Nebraska,Fremont,68025,A02556
SF-20065,United States,East,Pennsylvania,Philadelphia,19140,A04233
EB-13870,United States,West,Utah,Orem,84057,A01526
EH-13945,United States,West,California,Los Angeles,90049,A01584
TB-21520,United States,East,Pennsylvania,Philadelphia,19140,A04579
MA-17560,United States,Central,Texas,Houston,77095,A02970
GH-14485,United States,Central,Texas,Richardson,75080,A01863
SN-20710,United States,Central,Texas,Houston,77041,A04360
LC-16930,United States,Central,Illinois,Naperville,60540,A02804
RA-19885,United States,West,California,Los Angeles,90049,A03811
ES-14080,United States,South,Florida,Melbourne,32935,A01699
ON-18715,United States,Central,Minnesota,Eagan,55122,A03574
PO-18865,United States,Central,Michigan,Westland,48185,A03714
LH-16900,United States,East,Delaware,Dover,19901,A02852
DP-13000,United States,Central,Indiana,New Albany,47150,A01385
JM-15265,United States,East,New York,New York City,10024,A02403
TB-21055,United States,East,New York,Troy,12180,A04540
KM-16720,United States,West,California,Los Angeles,90004,A02706
PS-18970,United States,Central,Illinois,Chicago,60610,A03749
BS-11590,United States,West,Arizona,Gilbert,85234,A00646
KD-16270,United States,South,Virginia,Springfield,22153,A02590
HM-14980,United States,East,New York,New York City,10009,A02028
TB-21520,United States,Central,Michigan,Jackson,49201,A04576
JE-15745,United States,South,Tennessee,Memphis,38109,A02195
KB-16600,United States,Central,Texas,Houston,77041,A02569
JE-15745,United States,Central,Texas,Houston,77070,A02192
SC-20770,United States,South,Alabama,Decatur,35601,A04198
DN-13690,United States,West,California,San Francisco,94122,A01360
JC-16105,United States,South,North Carolina,Durham,27707,A02129
CS-12400,United States,Central,Illinois,Chicago,60623,A01055
PO-18865,United States,South,South Carolina,Columbia,29203,A03708
PG-18895,United States,Central,Minnesota,Rochester,55901,A03644
GM-14455,United States,Central,Texas,Houston,77095,A01885
JS-15685,United States,West,California,Los Angeles,90036,A02492
KB-16315,United States,Central,Minnesota,Minneapolis,55407,A02548
RB-19705,United States,West,Oregon,Portland,97206,A03868
PN-18775,United States,East,New York,New York City,10009,A03694
KD-16345,United States,West,California,San Francisco,94122,A02596
ER-13855,United States,Central,Minnesota,Saint Paul,55106,A01691
RB-19465,United States,Central,Illinois,Chicago,60610,A03843
GZ-14470,United States,Central,Minnesota,Rochester,55901,A01937
LC-16870,United States,West,Colorado,Aurora,80013,A02784
JM-15250,United States,South,North Carolina,Charlotte,28205,A02395
PA-19060,United States,Central,Illinois,Orland Park,60462,A03587
