index,OrderID,OrderDate,ShipDate,ShipMode,CustomerID
0,CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520
2,CA-2016-138688,6/12/2016,6/16/2016,Second Class,DV-13045
3,US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335
5,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710
12,CA-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480
13,CA-2016-161389,12/5/2016,12/10/2016,Standard Class,IM-15070
14,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815
16,CA-2014-105893,11/11/2014,11/18/2014,Standard Class,PK-19075
17,CA-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270
18,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925
21,CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585
23,US-2017-156909,7/16/2017,7/18/2017,Second Class,SF-20065
24,CA-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870
25,CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945
27,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520
34,CA-2017-107727,10/19/2017,10/23/2017,Second Class,MA-17560
35,CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485
37,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710
41,CA-2017-120999,9/10/2017,9/15/2017,Standard Class,LC-16930
42,CA-2016-101343,7/17/2016,7/22/2016,Standard Class,RA-19885
43,CA-2017-139619,9/19/2017,9/23/2017,Standard Class,ES-14080
44,CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715
46,CA-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865
47,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900
49,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000
53,CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265
55,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055
62,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720
66,US-2015-164175,4/30/2015,5/5/2015,Standard Class,PS-18970
67,CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590
69,CA-2016-119823,6/4/2016,6/6/2016,First Class,KD-16270
70,CA-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980
71,CA-2017-114440,9/14/2017,9/17/2017,Second Class,TB-21520
72,US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745
75,US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600
78,US-2014-147606,11/26/2014,12/1/2014,Second Class,JE-15745
79,CA-2016-127208,6/12/2016,6/15/2016,First Class,SC-20770
81,CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690
83,CA-2015-149734,9/3/2015,9/8/2015,Standard Class,JC-16105
84,US-2017-119662,11/13/2017,11/16/2017,First Class,CS-12400
85,CA-2017-140088,5/28/2017,5/30/2017,Second Class,PO-18865
86,CA-2017-155558,10/26/2017,11/2/2017,Standard Class,PG-18895
88,CA-2016-159695,4/5/2016,4/10/2016,Second Class,GM-14455
89,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685
92,CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315
95,US-2017-109484,11/6/2017,11/12/2017,Standard Class,RB-19705
96,CA-2017-161018,11/9/2017,11/11/2017,Second Class,PN-18775
97,CA-2017-157833,6/17/2017,6/20/2017,First Class,KD-16345
98,CA-2016-149223,9/6/2016,9/11/2016,Standard Class,ER-13855
99,CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465
102,CA-2016-129903,12/1/2016,12/4/2016,Second Class,GZ-14470
103,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870
106,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250
109,CA-2015-129476,10/15/2015,10/20/2015,Standard Class,PA-19060
110,CA-2017-146780,12/25/2017,12/30/2017,Standard Class,CV-12805
111,CA-2016-128867,11/3/2016,11/10/2016,Standard Class,CL-12565
113,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960
117,CA-2015-110457,3/2/2015,3/6/2015,Standard Class,DK-13090
118,US-2015-136476,4/5/2015,4/10/2015,Standard Class,GG-14650
119,CA-2016-103730,6/12/2016,6/15/2016,First Class,SC-20725
124,US-2014-152030,12/26/2014,12/28/2014,Second Class,AD-10180
125,US-2014-134614,9/20/2014,9/25/2014,Standard Class,PF-19165
126,US-2017-107272,11/5/2017,11/12/2017,Standard Class,TS-21610
128,US-2016-125969,11/6/2016,11/10/2016,Second Class,LS-16975
130,US-2017-164147,2/2/2017,2/5/2017,First Class,DW-13585
133,CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885
140,CA-2016-110366,9/5/2016,9/7/2016,Second Class,JD-15895
141,CA-2017-106180,9/18/2017,9/23/2017,Standard Class,SH-19975
144,CA-2017-155376,12/22/2017,12/27/2017,Standard Class,SG-20080
145,CA-2015-110744,9/7/2015,9/12/2015,Standard Class,HA-14920
146,CA-2014-110072,10/22/2014,10/28/2014,Standard Class,MG-17680
147,CA-2016-114489,12/5/2016,12/9/2016,Standard Class,JE-16165
151,CA-2016-158834,3/13/2016,3/16/2016,First Class,TW-21025
153,CA-2015-124919,5/31/2015,6/2/2015,First Class,SP-20650
156,CA-2015-118948,5/28/2015,6/3/2015,Standard Class,NK-18490
157,CA-2014-104269,3/1/2014,3/6/2014,Second Class,DB-13060
158,CA-2016-114104,11/20/2016,11/24/2016,Standard Class,NP-18670
160,CA-2016-162733,5/11/2016,5/12/2016,First Class,TT-21070
161,CA-2015-119697,12/28/2015,12/31/2015,Second Class,EM-13960
162,CA-2016-154508,11/16/2016,11/20/2016,Standard Class,RD-19900
163,CA-2016-113817,11/7/2016,11/11/2016,Standard Class,MJ-17740
164,CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140
171,CA-2014-118962,8/5/2014,8/9/2014,Standard Class,CS-12130
174,US-2014-100853,9/14/2014,9/19/2014,Standard Class,JB-15400
176,US-2017-152366,4/21/2017,4/25/2017,Second Class,SJ-20500
177,US-2015-101511,11/21/2015,11/23/2015,Second Class,JE-15745
179,CA-2015-137225,12/15/2015,12/19/2015,Standard Class,JK-15640
180,CA-2014-166191,12/5/2014,12/9/2014,Second Class,DK-13150
182,CA-2014-158274,11/19/2014,11/24/2014,Second Class,RM-19675
185,CA-2016-105018,11/28/2016,12/2/2016,Standard Class,SK-19990
186,CA-2014-123260,8/26/2014,8/30/2014,Standard Class,FM-14290
187,CA-2016-157000,7/16/2016,7/22/2016,Standard Class,AM-10360
189,CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470
194,CA-2015-131457,10/31/2015,11/6/2015,Standard Class,MZ-17515
195,CA-2014-140004,3/21/2014,3/25/2014,Standard Class,CB-12025
197,CA-2017-107720,11/6/2017,11/13/2017,Standard Class,VM-21685
198,US-2017-124303,7/6/2017,7/13/2017,Standard Class,FH-14365
200,CA-2017-105074,6/24/2017,6/29/2017,Standard Class,MB-17305
201,CA-2014-133690,8/3/2014,8/5/2014,First Class,BS-11755
203,US-2017-116701,12/17/2017,12/21/2017,Second Class,LC-17140
204,CA-2017-126382,6/3/2017,6/7/2017,Standard Class,HK-14890
205,CA-2017-108329,12/9/2017,12/14/2017,Standard Class,LE-16810
206,CA-2017-135860,12/1/2017,12/7/2017,Standard Class,JH-15985
211,CA-2015-101007,2/9/2015,2/13/2015,Second Class,MS-17980
212,CA-2015-146262,1/2/2015,1/9/2015,Standard Class,VW-21775
217,CA-2016-130162,10/28/2016,11/1/2016,Standard Class,JH-15910
219,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925
225,CA-2015-163055,8/9/2015,8/16/2015,Standard Class,DS-13180
228,US-2015-145436,2/28/2015,3/4/2015,Standard Class,VD-21670
230,US-2014-156216,9/13/2014,9/17/2014,Standard Class,EA-14035
231,US-2017-100930,4/7/2017,4/12/2017,Standard Class,CS-12400
236,CA-2017-160514,11/12/2017,11/16/2017,Standard Class,DB-13120
237,CA-2016-157749,6/4/2016,6/9/2016,Second Class,KL-16645
244,CA-2014-131926,6/1/2014,6/6/2014,Second Class,DW-13480
249,CA-2016-154739,12/10/2016,12/15/2016,Second Class,LH-17155
250,CA-2016-145625,9/11/2016,9/17/2016,Standard Class,KC-16540
252,CA-2016-146941,12/10/2016,12/13/2016,First Class,DL-13315
254,US-2015-159982,11/28/2015,12/4/2015,Standard Class,DR-12880
258,CA-2017-163139,12/1/2017,12/3/2017,Second Class,CC-12670
261,US-2017-155299,6/8/2017,6/12/2017,Standard Class,Dl-13600
262,US-2014-106992,9/19/2014,9/21/2014,Second Class,SB-20290
264,CA-2016-125318,6/6/2016,6/13/2016,Standard Class,RC-19825
265,CA-2015-155040,11/10/2015,11/15/2015,Standard Class,AH-10210
266,CA-2017-136826,6/16/2017,6/20/2017,Standard Class,CB-12535
267,CA-2016-111010,1/22/2016,1/28/2016,Standard Class,PG-18895
268,US-2017-145366,12/9/2017,12/13/2017,Standard Class,CA-12310
270,CA-2017-163979,12/28/2017,1/2/2018,Second Class,KH-16690
271,CA-2015-155334,7/30/2015,7/31/2015,First Class,HA-14920
274,CA-2017-118136,9/16/2017,9/17/2017,First Class,BB-10990
276,CA-2017-132976,10/13/2017,10/17/2017,Standard Class,AG-10495
280,US-2015-161991,9/26/2015,9/28/2015,Second Class,SC-20725
282,CA-2015-130890,11/2/2015,11/6/2015,Standard Class,JO-15280
283,CA-2015-130883,9/26/2015,10/2/2015,Standard Class,TB-21520
286,CA-2016-112697,12/18/2016,12/20/2016,Second Class,AH-10195
289,CA-2016-110772,11/20/2016,11/24/2016,Second Class,NZ-18565
293,CA-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555
298,CA-2016-142545,10/28/2016,11/3/2016,Standard Class,JD-15895
303,US-2017-152380,11/19/2017,11/23/2017,Standard Class,JH-15910
304,CA-2015-144253,5/4/2015,5/9/2015,Second Class,AS-10225
305,CA-2014-130960,12/30/2014,1/4/2015,Standard Class,KB-16600
306,CA-2014-111003,6/1/2014,6/6/2014,Standard Class,CR-12625
308,CA-2017-126774,4/15/2017,4/17/2017,First Class,SH-20395
309,CA-2016-142902,9/12/2016,9/14/2016,Second Class,BP-11185
313,CA-2014-120887,9/27/2014,10/3/2014,Standard Class,TS-21205
314,CA-2014-167850,8/9/2014,8/16/2014,Standard Class,AG-10525
316,CA-2014-164259,12/28/2014,12/30/2014,First Class,SP-20860
317,CA-2014-164973,11/4/2014,11/9/2014,Standard Class,NM-18445
322,CA-2014-156601,9/19/2014,9/24/2014,Standard Class,FA-14230
323,CA-2016-162138,4/23/2016,4/27/2016,Standard Class,GK-14620
325,CA-2017-153339,11/3/2017,11/5/2017,Second Class,DJ-13510
326,US-2016-141544,8/30/2016,9/1/2016,First Class,PO-18850
331,US-2016-150147,4/25/2016,4/29/2016,Second Class,JL-15850
334,CA-2015-137946,9/1/2015,9/4/2015,Second Class,DB-13615
337,CA-2014-129924,7/12/2014,7/17/2014,Standard Class,AC-10420
339,CA-2015-128167,6/22/2015,6/26/2015,Second Class,KL-16645
340,CA-2014-122336,4/13/2014,4/17/2014,Second Class,JD-15895
344,US-2015-120712,12/20/2015,12/24/2015,Standard Class,CS-12130
345,CA-2017-169901,6/15/2017,6/19/2017,Standard Class,CC-12550
346,CA-2017-134306,7/8/2017,7/12/2017,Standard Class,TD-20995
349,CA-2016-129714,9/1/2016,9/3/2016,First Class,AB-10060
354,CA-2016-138520,4/8/2016,4/13/2016,Standard Class,JL-15505
358,CA-2016-130001,4/23/2016,4/28/2016,Standard Class,HK-14890
359,CA-2017-155698,3/8/2017,3/11/2017,First Class,VB-21745
361,CA-2017-144904,9/25/2017,10/1/2017,Standard Class,KW-16435
365,CA-2014-123344,9/24/2014,9/29/2014,Standard Class,JD-16060
366,CA-2016-155516,10/21/2016,10/21/2016,Same Day,MK-17905
370,CA-2017-104745,5/29/2017,6/4/2017,Standard Class,GT-14755
372,US-2014-119137,7/23/2014,7/27/2014,Standard Class,AG-10900
376,US-2016-134656,9/28/2016,10/1/2016,First Class,MM-18280
377,US-2017-134481,8/27/2017,9/1/2017,Standard Class,AR-10405
378,CA-2015-130792,4/28/2015,5/5/2015,Standard Class,RA-19915
381,CA-2016-134775,10/28/2016,10/29/2016,First Class,AS-10285
383,CA-2015-125395,6/26/2015,6/29/2015,Second Class,LA-16780
384,US-2015-168935,11/27/2015,12/2/2015,Standard Class,DO-13435
386,CA-2015-122756,12/3/2015,12/7/2015,Standard Class,DK-13225
388,CA-2014-115973,11/24/2014,11/26/2014,First Class,NG-18430
389,CA-2017-101798,12/11/2017,12/15/2017,Standard Class,MV-18190
391,US-2014-135972,9/21/2014,9/23/2014,Second Class,JG-15115
393,US-2014-134971,6/7/2014,6/10/2014,Second Class,BP-11095
394,CA-2017-102946,6/30/2017,7/5/2017,Standard Class,VP-21730
395,CA-2017-165603,10/17/2017,10/19/2017,Second Class,SS-20140
397,CA-2015-122259,10/31/2015,11/4/2015,Standard Class,HP-14815
398,CA-2016-108987,9/8/2016,9/10/2016,Second Class,AG-10675
402,CA-2014-113166,12/24/2014,12/26/2014,First Class,LF-17185
403,CA-2014-155208,4/16/2014,4/20/2014,Standard Class,SP-20650
404,CA-2017-117933,12/24/2017,12/29/2017,Standard Class,RF-19840
405,CA-2017-117457,12/8/2017,12/12/2017,Standard Class,KH-16510
414,CA-2017-142636,11/3/2017,11/7/2017,Standard Class,KC-16675
416,CA-2017-122105,6/24/2017,6/28/2017,Standard Class,CJ-12010
417,CA-2016-148796,4/14/2016,4/18/2016,Standard Class,PB-19150
418,CA-2017-154816,11/6/2017,11/10/2017,Standard Class,VB-21745
419,CA-2017-110478,3/4/2017,3/9/2017,Standard Class,SP-20860
421,CA-2014-142048,6/22/2014,6/25/2014,First Class,JE-15745
422,CA-2017-125388,10/19/2017,10/23/2017,Standard Class,MP-17965
424,CA-2017-155705,8/21/2017,8/23/2017,Second Class,NF-18385
425,CA-2017-149160,11/23/2017,11/26/2017,Second Class,JM-15265
427,CA-2014-101476,9/12/2014,9/13/2014,First Class,SD-20485
428,CA-2017-152275,10/1/2017,10/8/2017,Standard Class,KH-16630
429,US-2016-123750,4/15/2016,4/21/2016,Standard Class,RB-19795
433,CA-2016-127369,6/6/2016,6/7/2016,First Class,DB-13060
434,US-2014-150574,12/19/2014,12/25/2014,Standard Class,MK-18160
436,CA-2016-147375,6/12/2016,6/14/2016,Second Class,PO-19180
438,CA-2017-130043,9/15/2017,9/19/2017,Standard Class,BB-11545
439,CA-2017-157252,1/20/2017,1/23/2017,Second Class,CV-12805
440,CA-2016-115756,9/5/2016,9/7/2016,Second Class,PK-19075
446,CA-2017-154214,3/20/2017,3/25/2017,Second Class,TB-21595
447,CA-2016-166674,4/1/2016,4/3/2016,Second Class,RB-19360
453,CA-2017-147277,10/20/2017,10/24/2017,Standard Class,EB-13705
455,CA-2016-100153,12/13/2016,12/17/2016,Standard Class,KH-16630
456,US-2014-110674,2/12/2014,2/18/2014,Standard Class,SC-20095
457,US-2016-157945,9/26/2016,10/1/2016,Standard Class,NF-18385
459,CA-2015-109638,12/15/2015,12/22/2015,Standard Class,JH-15985
462,CA-2016-109869,4/22/2016,4/29/2016,Standard Class,TN-21040
467,US-2015-101399,1/17/2015,1/24/2015,Standard Class,JS-15940
468,CA-2017-154907,3/31/2017,4/4/2017,Standard Class,DS-13180
469,US-2016-100419,12/16/2016,12/20/2016,Second Class,CC-12670
470,CA-2015-154144,12/20/2015,12/24/2015,Standard Class,MH-17785
471,CA-2014-144666,11/9/2014,11/11/2014,Second Class,JP-15520
477,CA-2016-103891,7/12/2016,7/19/2016,Standard Class,KH-16690
478,CA-2016-152632,10/27/2016,11/2/2016,Standard Class,JE-15475
479,CA-2016-100790,6/26/2016,7/2/2016,Standard Class,JG-15805
481,CA-2014-134677,10/6/2014,10/10/2014,Standard Class,XP-21865
482,CA-2014-127691,7/22/2014,7/27/2014,Standard Class,EM-14065
484,CA-2017-140963,6/10/2017,6/13/2017,First Class,MT-18070
487,CA-2014-154627,10/29/2014,10/31/2014,First Class,SA-20830
488,CA-2014-133753,6/9/2014,6/13/2014,Second Class,CW-11905
491,CA-2014-113362,9/14/2014,9/19/2014,Standard Class,AJ-10960
