index,ProductID,Category,SubCategory,ProductName,PurchasePrice
0,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,110.02319999999999
1,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",170.78600000000003
2,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,3.8742999999999994
3,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,268.12170000000003
4,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,9.925799999999999
5,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",4.955800000000001
6,OFF-AR-10002833,Office Supplies,Art,Newell 322,1.3286
7,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,136.0728
8,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,4.240500000000001
9,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,16.086000000000002
10,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,180.09720000000002
11,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,210.7668
12,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,3.3695999999999997
13,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,91.7946
14,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",38.5336
15,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.1199999999999997
16,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",108.7604
17,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,22.755
18,OFF-AR-10003056,Office Supplies,Art,Newell 341,3.0388
19,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,65.823
20,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",3.8339999999999996
21,OFF-AR-10000246,Office Supplies,Art,Newell 318,2.0572000000000004
22,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",6.3788
23,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",36.1958
25,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,3.7127999999999997
26,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,26.265299999999996
27,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",678.3546
28,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,8.3356
29,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",36.225
