,SalesID,OrderID,ProductID,Sales,Quantity,Discount,Profit
0,SSS00000,CA-2016-152156,FUR-BO-10001798,261.96,2,0.0,41.9136
1,SSS00001,CA-2016-152156,FUR-CH-10000454,731.94,3,0.0,219.582
2,SSS00002,CA-2016-138688,OFF-LA-10000240,14.62,2,0.0,6.8714
3,SSS00003,US-2015-108966,FUR-TA-10000577,957.5775,5,0.45,-383.031
4,SSS00004,US-2015-108966,OFF-ST-10000760,22.368,2,0.2,2.5164
5,SSS00005,CA-2014-115812,FUR-FU-10001487,48.86,7,0.0,14.1694
6,SSS00006,CA-2014-115812,OFF-AR-10002833,7.28,4,0.0,1.9656
7,SSS00007,CA-2014-115812,TEC-PH-10002275,907.152,6,0.2,90.7152
8,SSS00008,CA-2014-115812,OFF-BI-10003910,18.504,3,0.2,5.7825
9,SSS00009,CA-2014-115812,OFF-AP-10002892,114.9,5,0.0,34.47
10,SSS00010,CA-2014-115812,FUR-TA-10001539,1706.184,9,0.2,85.3092
11,SSS00011,CA-2014-115812,TEC-PH-10002033,911.424,4,0.2,68.3568
12,SSS00012,CA-2017-114412,OFF-PA-10002365,15.552,3,0.2,5.4432
13,SSS00013,CA-2016-161389,OFF-BI-10003656,407.976,3,0.2,132.5922
14,SSS00014,US-2015-118983,OFF-AP-10002311,68.81,5,0.8,-123.858
15,SSS00015,US-2015-118983,OFF-BI-10000756,2.544,3,0.8,-3.816
16,SSS00016,CA-2014-105893,OFF-ST-10004186,665.88,6,0.0,13.3176
17,SSS00017,CA-2014-167164,OFF-ST-10000107,55.5,2,0.0,9.99
18,SSS00018,CA-2014-143336,OFF-AR-10003056,8.56,2,0.0,2.4824
19,SSS00019,CA-2014-143336,TEC-PH-10001949,213.48,3,0.2,16.011
20,SSS00020,CA-2014-143336,OFF-BI-10002215,22.72,4,0.2,7.384
21,SSS00021,CA-2016-137330,OFF-AR-10000246,19.46,7,0.0,5.0596
22,SSS00022,CA-2016-137330,OFF-AP-10001492,60.34,7,0.0,15.6884
23,SSS00023,US-2017-156909,FUR-CH-10002774,71.372,2,0.3,-1.0196
24,SSS00024,CA-2015-106320,FUR-TA-10000577,1044.63,3,0.0,240.2649
